sensor	timestamp	valid	voltage	current	power	marker
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303057	1	-3.40282e+38	-3.40282e+38	76.955	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303073	1	-3.40282e+38	-3.40282e+38	76.955	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303089	1	-3.40282e+38	-3.40282e+38	76.955	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303105	1	-3.40282e+38	-3.40282e+38	76.955	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303121	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303137	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303153	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303168	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303184	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303199	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303214	1	-3.40282e+38	-3.40282e+38	73.195	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303230	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303245	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303261	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303277	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303293	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303309	1	-3.40282e+38	-3.40282e+38	69.363	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303325	1	-3.40282e+38	-3.40282e+38	65.5	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303341	1	-3.40282e+38	-3.40282e+38	65.5	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303357	1	-3.40282e+38	-3.40282e+38	65.5	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303373	1	-3.40282e+38	-3.40282e+38	65.5	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303389	1	-3.40282e+38	-3.40282e+38	65.5	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303404	1	-3.40282e+38	-3.40282e+38	65.5	waiting
